country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,data_collected_at
Nigeria,267188,0,3155,0,259953,4080,11,1233,15,5708974,26339,216746934,Africa,811,68700,38,2025-03-23 19:32:41
Niue,1059,0,0,0,1056,3,0,652898,0,0,0,1622,Australia-Oceania,2,0,0,2025-03-23 19:32:41
Norway,1509732,0,6638,0,1503094,0,0,273930,1204,11002430,1996315,5511370,Europe,4,830,1,2025-03-23 19:32:41
Oman,399449,0,4628,0,0,394821,0,75028,869,25000000,4695724,5323993,Asia,13,1150,0,2025-03-23 19:32:41
Pakistan,1581936,0,30664,0,1538689,12583,0,6893,134,30589153,133292,229488994,Asia,145,7484,8,2025-03-23 19:32:41
Palau,6290,0,10,0,6276,4,0,344979,548,71434,3917841,18233,Australia-Oceania,3,1823,0,2025-03-23 19:32:41
Palestine,621008,0,5404,0,615445,159,0,116173,1011,3078533,575907,5345541,Asia,9,989,2,2025-03-23 19:32:41
Panama,1059893,0,8727,0,1051102,64,16,238341,1962,7882622,1772585,4446964,North America,4,510,1,2025-03-23 19:32:41
Papua New Guinea,46864,0,670,0,46168,26,0,5043,72,249149,26813,9292169,Australia-Oceania,198,13869,37,2025-03-23 19:32:41
Paraguay,837602,0,20155,0,0,817447,0,114648,2759,2657506,363751,7305843,South America,9,362,3,2025-03-23 19:32:41
Peru,4572667,0,222161,0,4350506,0,4,135751,6595,39010194,1158115,33684208,South America,7,152,1,2025-03-23 19:32:41
Philippines,4140383,0,66864,0,4067381,6138,0,36800,594,36102746,320888,112508994,Asia,27,1683,3,2025-03-23 19:32:41
Poland,6661991,0,120598,0,0,6541393,0,176524,3196,39323709,1041970,37739785,Europe,6,313,1,2025-03-23 19:32:41
Portugal,5643062,0,28126,0,5614809,127,61,556484,2774,46139518,4549993,10140570,Europe,2,361,0,2025-03-23 19:32:41
Qatar,514524,0,690,0,513687,147,16,172664,232,4065369,1364257,2979915,Asia,6,4319,1,2025-03-23 19:32:41
Romania,3529735,0,68929,0,3460149,657,21,185470,3622,28758667,1511122,19031335,Europe,5,276,1,2025-03-23 19:32:41
Russia,24124215,0,402756,0,23545818,175641,0,165454,2762,273400000,1875095,145805947,Europe,6,362,1,2025-03-23 19:32:41
Rwanda,133518,0,1468,0,132039,11,0,9817,108,6021981,442778,13600464,Africa,102,9265,2,2025-03-23 19:32:41
Réunion,494595,0,921,0,0,493674,0,544672,1014,1603660,1766027,908061,Africa,2,986,1,2025-03-23 19:32:41
S. Korea,34571873,0,35934,0,34535939,0,0,673523,700,15804065,307892,51329899,Asia,1,1428,3,2025-03-23 19:32:41
Saint Helena,2166,0,0,0,2,2164,0,354211,0,0,0,6115,Africa,3,0,0,2025-03-23 19:32:41
Saint Kitts and Nevis,6607,0,48,0,6559,0,0,122645,891,126958,2356704,53871,North America,8,1122,0,2025-03-23 19:32:41
Saint Lucia,30215,0,410,0,29805,0,0,163225,2215,210983,1139752,185113,North America,6,451,1,2025-03-23 19:32:41
Saint Martin,12324,0,63,0,0,12261,0,310194,1586,112382,2828643,39730,North America,3,631,0,2025-03-23 19:32:41
Saint Pierre Miquelon,3452,0,2,0,2449,1001,0,599410,347,25400,4410488,5759,North America,2,2880,0,2025-03-23 19:32:41
Saint Vincent and the Grenadines,9674,0,124,0,9493,57,0,86723,1112,114197,1023720,111551,North America,12,900,1,2025-03-23 19:32:41
Samoa,17006,0,31,0,1605,15370,0,84089,153,187397,926612,202239,Australia-Oceania,12,6524,1,2025-03-23 19:32:41
San Marino,26185,0,128,0,26011,46,0,768226,3755,196855,5775414,34085,Europe,1,266,0,2025-03-23 19:32:41
Sao Tome and Principe,6778,0,80,0,6685,13,0,29770,351,29600,130008,227679,Africa,34,2846,8,2025-03-23 19:32:41
Saudi Arabia,841469,0,9646,0,0,831823,0,23475,269,45481735,1268848,35844909,Asia,43,3716,1,2025-03-23 19:32:41
Senegal,89053,0,1971,0,87024,58,0,5044,112,1146543,64946,17653671,Africa,198,8957,15,2025-03-23 19:32:41
Serbia,2615054,0,18057,0,2596608,389,0,302213,2087,13463733,1555958,8653016,Europe,3,479,1,2025-03-23 19:32:41
Seychelles,51220,0,172,0,51048,0,0,515157,1730,0,0,99426,Africa,2,578,0,2025-03-23 19:32:41
Sierra Leone,7779,0,126,0,0,7653,0,937,15,259958,31296,8306436,Africa,1068,65924,32,2025-03-23 19:32:41
Singapore,3006155,0,2024,0,3004131,0,4,505785,341,24756666,4165302,5943546,Asia,2,2937,0,2025-03-23 19:32:41
Sint Maarten,11051,0,92,0,10905,54,0,251353,2093,62056,1411454,43966,North America,4,478,1,2025-03-23 19:32:41
Slovakia,1877605,0,21224,0,1856381,0,23,343872,3887,7448789,1364199,5460193,Europe,3,257,1,2025-03-23 19:32:41
Slovenia,1356546,0,7100,0,1349424,22,0,652803,3417,2847701,1370382,2078034,Europe,2,293,1,2025-03-23 19:32:41
Solomon Islands,25954,0,199,0,0,25755,0,35989,276,0,0,721159,Australia-Oceania,28,3624,0,2025-03-23 19:32:41
Somalia,27334,0,1361,0,13182,12791,0,1623,81,400466,23778,16841795,Africa,616,12375,42,2025-03-23 19:32:41
South Africa,4076463,0,102595,0,3912506,61362,192,67095,1689,26795090,441027,60756135,Africa,15,592,2,2025-03-23 19:32:41
South Sudan,18819,0,147,0,18115,557,1,1620,13,410280,35313,11618511,Africa,617,79037,28,2025-03-23 19:32:41
Spain,13914811,0,121760,0,13762417,30634,231,297840,2606,471036328,10082298,46719142,Europe,3,384,0,2025-03-23 19:32:41
Sri Lanka,672754,0,16897,0,655852,5,0,31181,783,6486117,300619,21575842,Asia,32,1277,3,2025-03-23 19:32:41
St. Barth,5507,0,6,0,0,5501,0,553746,603,78646,7908095,9945,North America,2,1658,0,2025-03-23 19:32:41
Sudan,63993,0,5046,0,58947,0,0,1391,110,562941,12240,45992020,Africa,719,9115,82,2025-03-23 19:32:41
Suriname,82588,0,1408,0,0,81180,0,138378,2359,242207,405822,596831,South America,7,424,2,2025-03-23 19:32:41
Swaziland,75191,0,1427,0,73116,648,0,63462,1204,1048704,885119,1184817,Africa,16,830,1,2025-03-23 19:32:41
Sweden,2754129,0,27407,0,2726492,230,0,269511,2682,19500873,1908301,10218971,Europe,4,373,1,2025-03-23 19:32:41
Switzerland,4453053,0,14452,0,4438309,292,0,507549,1647,23833472,2716487,8773637,Europe,2,607,0,2025-03-23 19:32:41
Syrian Arab Republic,57743,0,3165,0,54578,0,0,2982,163,146269,7553,19364809,Asia,335,6118,132,2025-03-23 19:32:41
Taiwan,10241523,0,19005,0,10222518,0,0,428720,796,30742304,1286903,23888595,Asia,2,1257,1,2025-03-23 19:32:41
Tajikistan,17786,0,125,0,17264,397,0,1786,13,0,0,9957464,Asia,560,79660,0,2025-03-23 19:32:41
Tanzania,43223,0,846,0,0,42377,0,683,13,0,0,63298550,Africa,1464,74821,0,2025-03-23 19:32:41
Thailand,4770149,0,34586,0,4692636,42927,0,68069,494,17273454,246488,70078203,Asia,15,2026,4,2025-03-23 19:32:41
Timor-Leste,23460,0,138,0,23102,220,0,17131,101,278529,203391,1369429,Asia,58,9923,5,2025-03-23 19:32:41
Togo,39572,0,290,0,39281,1,0,4559,33,815204,93908,8680837,Africa,219,29934,11,2025-03-23 19:32:41
Tokelau,80,0,0,0,0,80,0,58055,0,0,0,1378,Australia-Oceania,17,0,0,2025-03-23 19:32:41
Tonga,16950,0,13,0,15638,1299,0,157310,121,535009,4965327,107749,Australia-Oceania,6,8288,0,2025-03-23 19:32:41
